size	file
8	LICENSE
72	README.md
8	d3-hierarchy.sublime-project
88	img/cluster.png
200	img/pack.png
56	img/partition.png
72	img/stratify.png
72	img/tree.png
144	img/treemap.png
632	img
8	index.js
8	package.json
8	src/accessors.js
8	src/cluster.js
8	src/constant.js
8	src/hierarchy/ancestors.js
8	src/hierarchy/descendants.js
8	src/hierarchy/each.js
8	src/hierarchy/eachAfter.js
8	src/hierarchy/eachBefore.js
8	src/hierarchy/index.js
8	src/hierarchy/leaves.js
8	src/hierarchy/path.js
8	src/hierarchy/sort.js
8	src/hierarchy/sum.js
80	src/hierarchy
8	src/pack/enclose.js
8	src/pack/index.js
8	src/pack/shuffle.js
8	src/pack/siblings.js
32	src/pack
8	src/partition.js
8	src/stratify.js
16	src/tree.js
8	src/treemap/binary.js
8	src/treemap/dice.js
8	src/treemap/index.js
8	src/treemap/round.js
8	src/treemap/slice.js
8	src/treemap/sliceDice.js
8	src/treemap/squarify.js
56	src/treemap
224	src
136	test/data/flare-one.json
136	test/data/flare-phi.json
16	test/data/flare.csv
24	test/data/flare.json
8	test/data/simple.json
8	test/data/simple2.json
8	test/data/simple3.json
336	test/data
24	test/stratify-test.js
8	test/treemap/binary-test.js
8	test/treemap/dice-test.js
8	test/treemap/flare-test.js
16	test/treemap/index-test.js
8	test/treemap/round.js
8	test/treemap/slice-test.js
8	test/treemap/sliceDice-test.js
8	test/treemap/squarify-test.js
72	test/treemap
432	test
